Test,Dims,Shape,Elements,Feats,Etc,Model,Desc,Time Taken,RMSE,R2,Micro Acc,Bal Acc,Macro Acc,Precision,Recall,F1
Test 1,2,"(98454, 6)",98454,6,Full,DummyRegressor,DummyRegressor(),0.0038077831268310547,69.0377,-0.0008,0.5875,0.5,0.2352,0.5875,1.0,0.74
Test 1,2,"(98454, 6)",98454,6,Full,LinearRegression,LinearRegression(),0.030491113662719727,69.0366,-0.0018,0.5708,0.5007,0.2223,0.5879,0.9013,0.7114
Test 1,2,"(98454, 6)",98454,6,Full,DecisionTreeRegressor,DecisionTreeRegressor(),1.9319007396697998,10.6378,0.8857,0.8705,0.8666,0.397,0.8878,0.8887,0.8883
Test 1,2,"(98454, 6)",98454,6,Full,RandomForestRegressor,RandomForestRegressor(n_jobs=-1),21.990511894226074,15.6114,-1.2106,0.901,0.8961,0.4697,0.9069,0.9245,0.9156
Test 1,2,"(98454, 6)",98454,6,Full,ExtraTreesRegressor,ExtraTreesRegressor(n_jobs=-1),6.087213039398193,16.5338,-7.1197,0.9034,0.8985,0.4771,0.9087,0.9266,0.9176
Test 1,2,"(98454, 6)",98454,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=2, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.3031003475189209,58.9232,0.1758,0.5951,0.5105,0.235,0.5926,0.9959,0.7428
Test 1,2,"(98454, 6)",98454,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=4, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.1836681365966797,50.9829,0.2552,0.5973,0.5136,0.2351,0.5942,0.994,0.7435
Test 1,2,"(98454, 6)",98454,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=8, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.2906687259674072,40.1528,0.2126,0.6007,0.5184,0.2348,0.5966,0.9912,0.7445
Test 1,2,"(98454, 6)",98454,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=16, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.44454216957092285,30.6736,-0.0666,0.6068,0.5275,0.2348,0.6013,0.9838,0.7461
Test 1,2,"(98454, 6)",98454,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=32, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.7975409030914307,26.9908,-0.3866,0.6246,0.5536,0.2367,0.6158,0.9607,0.7502
Test 1,2,"(98454, 6)",98454,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=64, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",1.538604974746704,26.5228,-0.4816,0.6533,0.5982,0.237,0.6442,0.9177,0.7566
Test 1,2,"(98454, 6)",98454,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=128, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",3.0587141513824463,26.3774,-0.4846,0.6887,0.6462,0.25,0.6787,0.8944,0.7714
Test 1,2,"(98454, 6)",98454,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=256, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",6.315070867538452,26.2541,-0.4816,0.7135,0.6795,0.2598,0.706,0.8789,0.7826
Test 1,2,"(98454, 6)",98454,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=512, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",12.306087493896484,26.1572,-0.4783,0.7384,0.7124,0.2717,0.7355,0.8648,0.7947
Test 1,2,"(98454, 6)",98454,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=1024, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",25.863656282424927,26.0881,-0.4762,0.7619,0.7418,0.2785,0.7633,0.8592,0.8083
Test 1,2,"(98454, 6)",98454,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(2, 2),Dropout:0)",52.153735399246216,69.0357,-0.0012,0.5785,0.5023,0.2119,0.5887,0.9372,0.7229
Test 1,2,"(98454, 6)",98454,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(4, 4),Dropout:0)",38.26487135887146,69.0591,-0.0037,0.5845,0.5023,0.2146,0.5886,0.9669,0.7317
Test 1,2,"(98454, 6)",98454,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(8, 8),Dropout:0)",1674.1408874988556,114.2312,-5.5763,0.5171,0.497,0.1771,0.5851,0.6092,0.5968
Test 1,2,"(98454, 6)",98454,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(16, 16),Dropout:0)",106.48618769645691,87.4748,-1.2122,0.5463,0.4995,0.1889,0.5872,0.7668,0.6649
Test 1,2,"(98454, 6)",98454,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(32, 32),Dropout:0)",38.75233483314514,577.6044,-77.8681,0.46,0.4991,0.1472,0.5861,0.2745,0.3738
Test 1,2,"(98454, 6)",98454,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(64, 64),Dropout:0)",81.11814141273499,111.7102,-2.6867,0.4977,0.5147,0.1558,0.6049,0.4193,0.495
Test 1,2,"(98454, 6)",98454,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(128, 128),Dropout:0)",30.790537118911743,950.2913,-382.0265,0.4767,0.5038,0.1593,0.5928,0.3485,0.4389
Test 1,2,"(98454, 6)",98454,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(256, 256),Dropout:0)",33.457417488098145,830.6766,-131.2411,0.4843,0.5074,0.1594,0.5972,0.3748,0.4605
Test 1,2,"(98454, 6)",98454,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(512, 512),Dropout:0)",33.37838530540466,550.9902,-56.5555,0.5787,0.5034,0.2109,0.5892,0.9314,0.7217
Test 1,2,"(98454, 6)",98454,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(2, 2, 2),Dropout:0)",221.88043975830078,68.9771,-0.0008,0.5746,0.501,0.21,0.588,0.9178,0.7167
Test 1,2,"(98454, 6)",98454,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(4, 4, 4),Dropout:0)",162.01096034049988,70.0298,-0.1033,0.5875,0.5,0.2352,0.5875,1.0,0.74
Test 1,2,"(98454, 6)",98454,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(8, 8, 8),Dropout:0)",40.0462863445282,95.271,-2.4874,0.5696,0.5003,0.0505,0.5866,0.8554,0.6704
Test 2,2,"(44320, 92)",44320,92,Full,DummyRegressor,DummyRegressor(),0.0025053024291992188,138.6572,-0.0,0.5672,0.5,0.2256,0.5672,1.0,0.7237
Test 2,2,"(44320, 92)",44320,92,Full,LinearRegression,LinearRegression(),0.7427768707275391,138.2646,0.0051,0.5133,0.5,0.1052,0.5672,0.5977,0.582
Test 2,2,"(44320, 92)",44320,92,Full,DecisionTreeRegressor,DecisionTreeRegressor(),12.511837005615234,15.8805,0.9676,0.8677,0.8656,0.4049,0.8829,0.8814,0.8821
